21:51:25, 18:00:00, Battery: level = 94, scale = 100, status = 2, health = 2, plugged = 2, voltage = 4164
UConnect Schedule  prime=7
21:51:25, 18:00:01, Battery: level = 95, scale = 100, status = 2, health = 2, plugged = 2, voltage = 4162
21:51:52, 18:00:27, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
21:52:55, 18:01:30, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4057
21:54:25, 18:03:00, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4050
21:55:25, 18:04:00, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4068
21:55:55, 18:04:30, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4029
21:57:25, 18:06:00, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4018
22:02:25, 18:11:00, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4050
22:03:25, 18:12:00, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4048
22:06:24, 18:15:00, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4042
22:09:24, 18:17:59, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4030
22:09:54, 18:18:29, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4023
22:10:24, 18:18:59, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3995
22:11:54, 18:20:29, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3988
22:19:24, 18:27:59, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4012
22:21:24, 18:29:59, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4010
22:23:53, 18:32:29, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3966
22:25:23, 18:33:58, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3961
22:48:22, 18:56:57, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3971
