02:18:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:21:37, 00:23:D4:6A:BB:92, GARBAGE, true
02:26:08, 00:23:D4:6A:BB:92, GARBAGE, true
02:35:30, 00:23:D4:6A:BB:92, GARBAGE, true
02:40:00, 00:23:D4:6A:BB:92, GARBAGE, true
02:44:32, 00:23:D4:6A:BB:92, GARBAGE, true
02:47:27, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:47:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:48:55, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:48:55, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:48:55, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:49:37, 00:23:D4:6A:BB:92, 192.168.1.5, true
02:49:37, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:49:37, 00:23:D4:6A:BB:92, GARBAGE IP, true
02:53:48, 00:23:D4:6A:BB:92, GARBAGE, true
03:12:16, 00:23:D4:6A:BB:92, GARBAGE, true
03:21:26, 00:23:D4:6A:BB:92, GARBAGE, true
03:25:41, 00:23:D4:6A:BB:92, 192.168.1.7, true
03:25:41, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:25:41, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:25:41, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:26:23, 00:23:D4:6A:BB:92, 192.168.1.7, true
03:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:26:23, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:27:05, 00:23:D4:6A:BB:92, 192.168.1.7, true
03:27:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:27:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:27:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:30:35, 00:23:D4:6A:BB:92, GARBAGE, true
03:32:53, 00:23:D4:6A:BB:92, GARBAGE, true
03:35:16, 00:23:D4:6A:BB:92, GARBAGE, true
03:38:05, 00:23:D4:6A:BB:92, 192.168.1.8, true
03:38:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:38:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:38:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
03:42:50, 00:23:D4:6A:BB:92, GARBAGE, true
03:47:28, 00:23:D4:6A:BB:92, GARBAGE, true
03:52:03, 00:23:D4:6A:BB:92, GARBAGE, true
03:58:55, 00:23:D4:6A:BB:92, GARBAGE, true
04:05:33, 00:23:D4:6A:BB:92, GARBAGE, true
04:10:15, 00:23:D4:6A:BB:92, GARBAGE, true
04:14:53, 00:23:D4:6A:BB:92, GARBAGE, true
04:21:48, 00:23:D4:6A:BB:92, GARBAGE, true
04:28:35, 00:23:D4:6A:BB:92, GARBAGE, true
04:33:06, 00:23:D4:6A:BB:92, GARBAGE, true
04:42:23, 00:23:D4:6A:BB:92, GARBAGE, true
04:51:33, 00:23:D4:6A:BB:92, GARBAGE, true
04:56:09, 00:23:D4:6A:BB:92, GARBAGE, true
04:58:28, 00:23:D4:6A:BB:92, 192.168.1.10, true
04:58:28, 00:23:D4:6A:BB:92, GARBAGE IP, true
04:58:28, 00:23:D4:6A:BB:92, GARBAGE IP, true
04:58:28, 00:23:D4:6A:BB:92, GARBAGE IP, true
04:59:51, 00:23:D4:6A:BB:92, 192.168.1.10, true
04:59:51, 00:23:D4:6A:BB:92, GARBAGE IP, true
04:59:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
04:59:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
05:02:52, 00:23:D4:6A:BB:92, GARBAGE, true
05:05:27, 00:23:D4:6A:BB:92, GARBAGE, true
05:07:29, 00:23:D4:6A:BB:92, GARBAGE, true
05:16:41, 00:23:D4:6A:BB:92, GARBAGE, true
05:21:20, 00:23:D4:6A:BB:92, GARBAGE, true
05:35:23, 00:23:D4:6A:BB:92, GARBAGE, true
05:39:48, 00:23:D4:6A:BB:92, 192.168.1.6, true
05:39:48, 00:23:D4:6A:BB:92, GARBAGE IP, true
05:39:48, 00:23:D4:6A:BB:92, GARBAGE IP, true
05:44:45, 00:23:D4:6A:BB:92, GARBAGE, true
05:49:15, 00:23:D4:6A:BB:92, GARBAGE, true
05:56:06, 00:23:D4:6A:BB:92, GARBAGE, true
05:58:21, 00:23:D4:6A:BB:92, GARBAGE, true
06:05:14, 00:23:D4:6A:BB:92, GARBAGE, true
06:07:34, 00:23:D4:6A:BB:92, GARBAGE, true
06:22:13, 00:23:D4:6A:BB:92, GARBAGE, true
06:31:24, 00:23:D4:6A:BB:92, 192.168.1.10, true
06:31:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
06:31:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
06:31:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
06:36:09, 00:23:D4:6A:BB:92, GARBAGE, true
06:38:13, 00:23:D4:6A:BB:92, GARBAGE, true
06:47:31, 00:23:D4:6A:BB:92, GARBAGE, true
06:52:05, 00:23:D4:6A:BB:92, GARBAGE, true
06:56:36, 00:23:D4:6A:BB:92, GARBAGE, true
07:05:52, 00:23:D4:6A:BB:92, GARBAGE, true
07:10:26, 00:23:D4:6A:BB:92, GARBAGE, true
07:15:06, 00:23:D4:6A:BB:92, GARBAGE, true
07:24:17, 00:23:D4:6A:BB:92, GARBAGE, true
07:33:23, 00:23:D4:6A:BB:92, GARBAGE, true
07:38:02, 00:23:D4:6A:BB:92, GARBAGE, true
07:42:37, 00:23:D4:6A:BB:92, GARBAGE, true
07:49:25, 00:23:D4:6A:BB:92, GARBAGE, true
07:58:38, 00:23:D4:6A:BB:92, GARBAGE, true
08:03:18, 00:23:D4:6A:BB:92, GARBAGE, true
08:07:50, 00:23:D4:6A:BB:92, GARBAGE, true
08:11:24, 00:23:D4:6A:BB:92, 192.168.1.5, true
08:11:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:11:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:11:24, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:12:05, 00:23:D4:6A:BB:92, 192.168.1.5, true
08:12:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:12:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:12:05, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:13:29, 00:23:D4:6A:BB:92, 192.168.1.5, true
08:13:29, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:13:29, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:13:29, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:14:40, 00:23:D4:6A:BB:92, GARBAGE, true
08:16:52, 00:23:D4:6A:BB:92, 192.168.1.3, true
08:16:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:16:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:16:52, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:17:02, 00:23:D4:6A:BB:92, GARBAGE, true
08:31:00, 00:23:D4:6A:BB:92, GARBAGE, true
08:35:40, 00:23:D4:6A:BB:92, GARBAGE, true
08:46:58, 00:23:D4:6A:BB:92, GARBAGE, true
08:52:02, 00:23:D4:6A:BB:92, 192.168.1.12, true
08:52:02, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:52:02, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:52:02, 00:23:D4:6A:BB:92, GARBAGE IP, true
08:56:10, 00:23:D4:6A:BB:92, GARBAGE, true
08:58:33, 00:23:D4:6A:BB:92, GARBAGE, true
09:05:23, 00:23:D4:6A:BB:92, GARBAGE, true
09:07:38, 00:23:D4:6A:BB:92, GARBAGE, true
09:10:03, 00:23:D4:6A:BB:92, GARBAGE, true
09:12:13, 00:23:D4:6A:BB:92, GARBAGE, true
09:14:30, 00:23:D4:6A:BB:92, GARBAGE, true
09:17:21, 00:23:D4:6A:BB:92, 192.168.1.2, true
09:17:21, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:17:21, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:17:21, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:21:31, 00:23:D4:6A:BB:92, GARBAGE, true
09:31:07, 00:23:D4:6A:BB:92, 192.168.1.12, true
09:31:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:31:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:31:07, 00:23:D4:6A:BB:92, GARBAGE IP, true
09:35:57, 00:23:D4:6A:BB:92, GARBAGE, true
09:43:08, 00:23:D4:6A:BB:92, GARBAGE, true
09:52:16, 00:23:D4:6A:BB:92, GARBAGE, true
09:56:50, 00:23:D4:6A:BB:92, GARBAGE, true
09:59:16, 00:23:D4:6A:BB:92, GARBAGE, true
10:06:56, 00:23:D4:6A:BB:92, GARBAGE, true
10:21:26, 00:23:D4:6A:BB:92, GARBAGE, true
10:30:26, 00:23:D4:6A:BB:92, 192.168.1.1, true
10:30:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:30:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:30:27, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:30:38, 00:23:D4:6A:BB:92, GARBAGE, true
10:32:54, 00:23:D4:6A:BB:92, 192.168.1.5, true
10:32:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:32:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:32:54, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:33:35, 00:23:D4:6A:BB:92, 192.168.1.5, true
10:33:36, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:33:36, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:33:36, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:35:03, 00:23:D4:6A:BB:92, 192.168.1.5, true
10:35:03, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:35:03, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:35:03, 00:23:D4:6A:BB:92, GARBAGE IP, true
10:44:33, 00:23:D4:6A:BB:92, GARBAGE, true
