05:30:03, 00:23:D4:6A:D1:B8, GARBAGE, false
05:34:38, 00:23:D4:6A:D1:B8, GARBAGE, false
05:43:45, 00:23:D4:6A:D1:B8, GARBAGE, false
05:46:08, 00:23:D4:6A:D1:B8, GARBAGE, false
05:55:58, 00:23:D4:6A:D1:B8, GARBAGE, false
06:01:00, 00:23:D4:6A:D1:B8, 192.168.1.5, false
06:01:00, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:01:00, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:01:00, 00:23:D4:6A:D1:B8, GARBAGE IP, true
06:02:43, 00:23:D4:6A:D1:B8, GARBAGE, false
06:05:04, 00:23:D4:6A:D1:B8, GARBAGE, true
06:11:43, 00:23:D4:6A:D1:B8, GARBAGE, true
06:18:41, 00:23:D4:6A:D1:B8, GARBAGE, true
06:23:08, 00:23:D4:6A:D1:B8, GARBAGE, true
06:34:33, 00:23:D4:6A:D1:B8, GARBAGE, false
06:43:50, 00:23:D4:6A:D1:B8, GARBAGE, true
06:48:14, 00:23:D4:6A:D1:B8, GARBAGE, true
06:53:01, 00:23:D4:6A:D1:B8, GARBAGE, true
06:57:30, 00:23:D4:6A:D1:B8, GARBAGE, false
07:00:24, 00:23:D4:6A:D1:B8, 192.168.1.10, true
07:00:24, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:00:24, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:00:24, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:06, 00:23:D4:6A:D1:B8, 192.168.1.10, true
07:01:06, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:06, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:06, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:48, 00:23:D4:6A:D1:B8, 192.168.1.10, true
07:01:48, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:48, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:01:48, 00:23:D4:6A:D1:B8, GARBAGE IP, true
07:06:47, 00:23:D4:6A:D1:B8, GARBAGE, true
07:11:11, 00:23:D4:6A:D1:B8, GARBAGE, true
07:20:29, 00:23:D4:6A:D1:B8, GARBAGE, false
07:25:17, 00:23:D4:6A:D1:B8, GARBAGE, true
07:29:41, 00:23:D4:6A:D1:B8, GARBAGE, true
07:39:05, 00:23:D4:6A:D1:B8, GARBAGE, false
07:41:03, 00:23:D4:6A:D1:B8, GARBAGE, true
07:50:09, 00:23:D4:6A:D1:B8, GARBAGE, true
07:59:42, 00:23:D4:6A:D1:B8, GARBAGE, true
08:09:07, 00:23:D4:6A:D1:B8, GARBAGE, true
08:13:37, 00:23:D4:6A:D1:B8, GARBAGE, false
08:18:08, 00:23:D4:6A:D1:B8, GARBAGE, true
08:27:26, 00:23:D4:6A:D1:B8, GARBAGE, false
08:29:29, 00:23:D4:6A:D1:B8, GARBAGE, true
08:38:44, 00:23:D4:6A:D1:B8, GARBAGE, true
08:40:01, 00:23:D4:6A:D1:B8, 192.168.1.9, true
08:40:01, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:40:02, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:40:02, 00:23:D4:6A:D1:B8, GARBAGE IP, true
08:50:36, 00:23:D4:6A:D1:B8, GARBAGE, true
08:59:47, 00:23:D4:6A:D1:B8, GARBAGE, true
09:04:28, 00:23:D4:6A:D1:B8, GARBAGE, true
09:08:57, 00:23:D4:6A:D1:B8, GARBAGE, true
09:13:41, 00:23:D4:6A:D1:B8, GARBAGE, true
09:15:58, 00:23:D4:6A:D1:B8, 192.168.1.11, true
09:15:58, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:15:59, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:23:01, 00:23:D4:6A:D1:B8, GARBAGE, true
09:27:15, 00:23:D4:6A:D1:B8, 192.168.1.4, true
09:27:15, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:27:15, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:29:52, 00:23:D4:6A:D1:B8, GARBAGE, true
09:32:08, 00:23:D4:6A:D1:B8, GARBAGE, true
09:34:17, 00:23:D4:6A:D1:B8, GARBAGE, true
09:41:18, 00:23:D4:6A:D1:B8, GARBAGE, true
09:45:53, 00:23:D4:6A:D1:B8, GARBAGE, true
09:50:45, 00:23:D4:6A:D1:B8, GARBAGE, true
09:55:51, 00:23:D4:6A:D1:B8, 192.168.1.2, true
09:55:51, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:55:51, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:55:51, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:56:33, 00:23:D4:6A:D1:B8, 192.168.1.2, true
09:56:33, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:56:33, 00:23:D4:6A:D1:B8, GARBAGE IP, true
09:56:33, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:09:05, 00:23:D4:6A:D1:B8, GARBAGE, true
10:13:50, 00:23:D4:6A:D1:B8, GARBAGE, true
10:28:12, 00:23:D4:6A:D1:B8, 192.168.1.12, true
10:28:12, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:28:12, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:28:12, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:28:51, 00:23:D4:6A:D1:B8, 192.168.1.12, true
10:28:51, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:28:51, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:32:15, 00:23:D4:6A:D1:B8, GARBAGE, true
10:34:28, 00:23:D4:6A:D1:B8, GARBAGE, true
10:36:50, 00:23:D4:6A:D1:B8, GARBAGE, true
10:39:48, 00:23:D4:6A:D1:B8, 192.168.1.8, true
10:39:49, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:39:49, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:39:49, 00:23:D4:6A:D1:B8, GARBAGE IP, true
10:46:09, 00:23:D4:6A:D1:B8, GARBAGE, true
