03:45:32, 00:23:D4:6A:B6:B9, GARBAGE, true
03:50:01, 00:23:D4:6A:B6:B9, GARBAGE, true
03:54:48, 00:23:D4:6A:B6:B9, GARBAGE, true
03:59:12, 00:23:D4:6A:B6:B9, GARBAGE, true
04:04:19, 00:23:D4:6A:B6:B9, 192.168.1.2, true
04:04:19, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:04:19, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:04:19, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:08:32, 00:23:D4:6A:B6:B9, GARBAGE, true
04:13:03, 00:23:D4:6A:B6:B9, GARBAGE, true
04:22:06, 00:23:D4:6A:B6:B9, 192.168.1.6, true
04:22:06, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:22:06, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:22:06, 00:23:D4:6A:B6:B9, GARBAGE IP, true
04:22:14, 00:23:D4:6A:B6:B9, GARBAGE, true
04:31:35, 00:23:D4:6A:B6:B9, GARBAGE, true
04:36:00, 00:23:D4:6A:B6:B9, GARBAGE, true
04:45:16, 00:23:D4:6A:B6:B9, GARBAGE, true
04:49:47, 00:23:D4:6A:B6:B9, GARBAGE, true
04:58:56, 00:23:D4:6A:B6:B9, GARBAGE, true
05:03:39, 00:23:D4:6A:B6:B9, GARBAGE, true
05:08:44, 00:23:D4:6A:B6:B9, 192.168.1.8, true
05:08:44, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:08:44, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:08:44, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:12:45, 00:23:D4:6A:B6:B9, GARBAGE, true
05:17:21, 00:23:D4:6A:B6:B9, GARBAGE, true
05:26:36, 00:23:D4:6A:B6:B9, GARBAGE, true
05:31:08, 00:23:D4:6A:B6:B9, GARBAGE, true
05:40:19, 00:23:D4:6A:B6:B9, GARBAGE, true
05:45:00, 00:23:D4:6A:B6:B9, GARBAGE, true
05:50:45, 00:23:D4:6A:B6:B9, 192.168.1.5, true
05:50:45, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:50:45, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:50:45, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:52:28, 00:23:D4:6A:B6:B9, GARBAGE, true
05:55:26, 00:23:D4:6A:B6:B9, 192.168.1.4, true
05:55:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:55:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:55:26, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:56:08, 00:23:D4:6A:B6:B9, 192.168.1.4, true
05:56:08, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:56:12, 00:23:D4:6A:B6:B9, 192.168.1.2, true
05:56:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:56:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:56:12, 00:23:D4:6A:B6:B9, GARBAGE IP, true
05:56:50, 00:23:D4:6A:B6:B9, 192.168.1.4, true
05:56:50, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:01:37, 00:23:D4:6A:B6:B9, GARBAGE, true
06:03:48, 00:23:D4:6A:B6:B9, GARBAGE, true
06:05:59, 00:23:D4:6A:B6:B9, 192.168.1.4, true
06:05:59, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:05:59, 00:23:D4:6A:B6:B9, GARBAGE IP, true
06:24:23, 00:23:D4:6A:B6:B9, GARBAGE, true
06:29:00, 00:23:D4:6A:B6:B9, GARBAGE, true
06:35:38, 00:23:D4:6A:B6:B9, GARBAGE, true
06:40:16, 00:23:D4:6A:B6:B9, GARBAGE, true
06:49:31, 00:23:D4:6A:B6:B9, GARBAGE, true
06:58:36, 00:23:D4:6A:B6:B9, GARBAGE, true
07:03:13, 00:23:D4:6A:B6:B9, GARBAGE, true
