21:44:57, 18:00:00, Battery: level = 99, scale = 100, status = 2, health = 2, plugged = 2, voltage = 4205
UConnect Schedule  prime=7
21:45:21, 18:00:24, Battery: level = 99, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4128
22:03:41, 18:18:44, Battery: level = 98, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4096
22:05:11, 18:20:14, Battery: level = 97, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4091
22:12:41, 18:27:44, Battery: level = 96, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4087
22:14:40, 18:29:43, Battery: level = 95, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4076
22:36:39, 18:51:42, Battery: level = 94, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4076
22:42:39, 18:57:42, Battery: level = 93, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4061
23:05:37, 19:20:40, Battery: level = 92, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4062
23:07:07, 19:22:10, Battery: level = 91, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4080
23:19:36, 19:34:40, Battery: level = 90, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4045
23:21:06, 19:36:10, Battery: level = 89, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4045
23:33:06, 19:48:09, Battery: level = 88, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4031
23:54:04, 20:09:08, Battery: level = 87, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4028
23:56:04, 20:11:07, Battery: level = 86, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4019
00:04:04, 20:19:07, Battery: level = 85, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4014
00:28:32, 20:43:36, Battery: level = 84, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4004
00:33:02, 20:48:05, Battery: level = 83, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3997
00:36:32, 20:51:35, Battery: level = 82, scale = 100, status = 4, health = 2, plugged = 0, voltage = 4004
01:09:00, 21:24:03, Battery: level = 81, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3999
01:10:30, 21:25:33, Battery: level = 80, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3981
01:21:29, 21:36:33, Battery: level = 79, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3980
01:35:28, 21:50:32, Battery: level = 78, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3973
01:58:57, 22:14:00, Battery: level = 77, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3967
02:00:57, 22:16:00, Battery: level = 76, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3968
02:02:27, 22:17:30, Battery: level = 75, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3961
02:26:25, 22:41:29, Battery: level = 74, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3953
03:03:53, 23:18:56, Battery: level = 73, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3944
03:05:23, 23:20:26, Battery: level = 72, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3940
03:24:22, 23:39:25, Battery: level = 71, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3916
03:25:52, 23:40:55, Battery: level = 70, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3923
03:39:21, 23:54:25, Battery: level = 69, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3919
03:42:51, 23:57:54, Battery: level = 68, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3904
04:01:20, 00:16:23, Battery: level = 67, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3901
04:03:20, 00:18:23, Battery: level = 66, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3888
04:21:49, 00:36:52, Battery: level = 65, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3890
04:23:49, 00:38:52, Battery: level = 64, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3885
04:36:18, 00:51:21, Battery: level = 63, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3881
05:00:46, 01:15:50, Battery: level = 62, scale = 100, status = 4, health = 2, plugged = 0, voltage = 3876
