11:38:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
11:38:36, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, true, update
11:39:05, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
11:41:55, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
11:44:35, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, true, update
