11:36:02, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
11:36:03, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
11:38:39, 00:23:D4:6A:F5:43, 00:23:D4:6A:22:09, bluetooth_network, true, update
11:40:13, 00:23:D4:6A:F5:43, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
11:40:14, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
11:40:14, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
11:41:10, 00:23:D4:6A:F5:43, 00:23:D4:68:E1:E9, bluetooth_network, true, update
11:41:50, 00:23:D4:6A:F5:43, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
