14:50:35, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, false, fresh
14:50:36, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, false, fresh
14:50:39, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:54:33, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
14:54:55, 00:23:D4:6A:BB:92, 00:23:D4:6A:A4:E2, bluetooth_network, true, update
14:58:31, 00:23:D4:6A:BB:92, 00:23:D4:6A:87:DE, bluetooth_network, false, fresh
14:58:47, 00:23:D4:6A:BB:92, 00:23:D4:69:79:1C, bluetooth_network, true, update
