14:59:45, 00:23:D4:68:E1:E9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:59:46, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, true, update
14:59:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:B6:B9, bluetooth_network, false, fresh
14:59:50, 00:23:D4:68:E1:E9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
15:01:33, 00:23:D4:68:E1:E9, 00:23:D4:6A:F5:43, bluetooth_network, true, update
