14:50:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, false, fresh
14:50:10, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
14:50:11, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
14:50:33, 00:23:D4:6A:B6:B9, 00:23:D4:6A:22:09, bluetooth_network, false, fresh
14:54:09, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
15:02:51, 00:23:D4:6A:B6:B9, 00:23:D4:68:E1:E9, bluetooth_network, false, fresh
15:02:51, 00:23:D4:6A:B6:B9, 00:23:D4:6A:F5:43, bluetooth_network, false, fresh
15:05:17, 00:23:D4:6A:B6:B9, 00:23:D4:6A:D1:B8, bluetooth_network, true, update
