09:47:39, 00:23:D4:6A:A4:E2, GARBAGE, true
09:50:48, 00:23:D4:6A:A4:E2, GARBAGE, true
09:55:04, 00:23:D4:6A:A4:E2, GARBAGE, true
09:55:27, 00:23:D4:6A:A4:E2, GARBAGE, true
10:05:01, 00:23:D4:6A:A4:E2, GARBAGE, true
10:05:58, 00:23:D4:6A:A4:E2, GARBAGE, true
10:10:55, 00:23:D4:6A:A4:E2, GARBAGE, true
10:13:28, 00:23:D4:6A:A4:E2, GARBAGE, true
10:15:34, 00:23:D4:6A:A4:E2, 192.168.1.5, true
10:15:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:15:34, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:21:01, 00:23:D4:6A:A4:E2, GARBAGE, true
10:22:56, 00:23:D4:6A:A4:E2, GARBAGE, true
10:25:39, 00:23:D4:6A:A4:E2, GARBAGE, true
10:26:01, 00:23:D4:6A:A4:E2, GARBAGE, true
10:36:08, 00:23:D4:6A:A4:E2, GARBAGE, true
10:37:01, 00:23:D4:6A:A4:E2, GARBAGE, true
10:38:25, 00:23:D4:6A:A4:E2, GARBAGE, true
10:39:22, 00:23:D4:6A:A4:E2, 192.168.1.5, true
10:39:22, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:39:22, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:41:37, 00:23:D4:6A:A4:E2, GARBAGE, true
10:44:11, 00:23:D4:6A:A4:E2, GARBAGE, true
10:48:23, 00:23:D4:6A:A4:E2, GARBAGE, true
10:50:46, 00:23:D4:6A:A4:E2, GARBAGE, true
10:52:54, 00:23:D4:6A:A4:E2, 192.168.1.3, true
10:52:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:52:54, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:53:42, 00:23:D4:6A:A4:E2, GARBAGE, true
10:55:53, 00:23:D4:6A:A4:E2, 192.168.1.9, true
10:55:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:55:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:55:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:55:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
10:55:53, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:01:23, 00:23:D4:6A:A4:E2, GARBAGE, true
11:04:35, 00:23:D4:6A:A4:E2, GARBAGE, true
11:07:45, 00:23:D4:6A:A4:E2, GARBAGE, true
11:15:22, 00:23:D4:6A:A4:E2, GARBAGE, true
11:17:55, 00:23:D4:6A:A4:E2, GARBAGE, true
11:19:14, 00:23:D4:6A:A4:E2, GARBAGE, true
11:22:45, 00:23:D4:6A:A4:E2, GARBAGE, true
11:24:51, 00:23:D4:6A:A4:E2, 192.168.1.1, true
11:24:51, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:51, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:51, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:51, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:55, 00:23:D4:6A:A4:E2, 192.168.1.12, true
11:24:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:24:55, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:29:17, 00:23:D4:6A:A4:E2, GARBAGE, true
11:32:29, 00:23:D4:6A:A4:E2, GARBAGE, true
11:32:48, 00:23:D4:6A:A4:E2, GARBAGE, true
11:42:01, 00:23:D4:6A:A4:E2, GARBAGE, true
11:44:05, 00:23:D4:6A:A4:E2, 192.168.1.5, true
11:44:05, 00:23:D4:6A:A4:E2, GARBAGE IP, true
11:48:05, 00:23:D4:6A:A4:E2, GARBAGE, true
11:51:28, 00:23:D4:6A:A4:E2, GARBAGE, true
11:54:42, 00:23:D4:6A:A4:E2, GARBAGE, true
11:58:40, 00:23:D4:6A:A4:E2, GARBAGE, true
12:01:55, 00:23:D4:6A:A4:E2, GARBAGE, true
