qwerty cancled election initiation [3 Mar 2011 02:06:34 GMT]
qwerty cancled election initiation [3 Mar 2011 02:11:08 GMT]
qwerty cancled election initiation [3 Mar 2011 02:47:04 GMT]
qwerty cancled election initiation [3 Mar 2011 22:44:45 GMT]
HTC Dream cancled election initiation [3 Mar 2011 22:54:08 GMT]
Device or resource busy DEVICE:08 [3 Mar 2011 23:10:19 GMT]
Device or resource busy DEVICE:asdf [3 Mar 2011 23:10:20 GMT]
Device or resource busy DEVICE:qwerty [3 Mar 2011 23:10:25 GMT]
Device or resource busy DEVICE:sgaf [3 Mar 2011 23:10:25 GMT]
Connection reset by peer DEVICE:08 [3 Mar 2011 23:33:52 GMT]
qwerty cancled election initiation [3 Mar 2011 23:54:31 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 00:14:25 GMT]
HTC Dream cancled election initiation [4 Mar 2011 00:14:34 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 00:41:05 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 00:41:05 GMT]
Device or resource busy DEVICE:asdf [4 Mar 2011 00:41:06 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 00:41:06 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 01:18:21 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 01:18:29 GMT]
Connection refused DEVICE:sgaf [4 Mar 2011 06:08:04 GMT]
Connection refused DEVICE:qwerty [4 Mar 2011 06:08:06 GMT]
Service discovery failed DEVICE:asdf [4 Mar 2011 06:08:11 GMT]
Connection refused DEVICE:HTC Dream [4 Mar 2011 06:08:14 GMT]
Service discovery failed DEVICE:08 [4 Mar 2011 06:08:20 GMT]
Service discovery failed DEVICE:08 [4 Mar 2011 06:26:48 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 06:26:53 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 06:26:59 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 06:40:42 GMT]
Service discovery failed DEVICE:asdf [4 Mar 2011 07:03:54 GMT]
sgaf cancled election initiation [4 Mar 2011 07:04:02 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 07:09:25 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 07:09:25 GMT]
Device or resource busy DEVICE:HTC Dream [4 Mar 2011 07:09:32 GMT]
Service discovery failed DEVICE:asdf [4 Mar 2011 07:32:37 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 07:44:05 GMT]
Service discovery failed DEVICE:asdf [4 Mar 2011 08:12:01 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 08:41:47 GMT]
Service discovery failed DEVICE:08 [4 Mar 2011 08:41:59 GMT]
qwerty cancled election initiation [4 Mar 2011 08:42:09 GMT]
HTC Dream cancled election initiation [4 Mar 2011 08:42:09 GMT]
asdf cancled election initiation [4 Mar 2011 08:42:09 GMT]
Service discovery failed DEVICE:sgaf [4 Mar 2011 08:58:37 GMT]
Service discovery failed DEVICE:08 [4 Mar 2011 08:58:42 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 09:12:31 GMT]
qwerty cancled election initiation [4 Mar 2011 09:12:42 GMT]
asdf cancled election initiation [4 Mar 2011 09:12:42 GMT]
Device or resource busy DEVICE:08 [4 Mar 2011 09:17:54 GMT]
Device or resource busy DEVICE:sgaf [4 Mar 2011 09:17:55 GMT]
asdf cancled election initiation [4 Mar 2011 09:17:55 GMT]
Device or resource busy DEVICE:qwerty [4 Mar 2011 09:28:55 GMT]
Service discovery failed DEVICE:HTC Dream [4 Mar 2011 09:29:01 GMT]
